client_id,service_type,contract_value,tenure_months,satisfaction_score,avg_monthly_tickets,churn,late_payment_rate,service_type_encoded,churn_probability
CL0096,24/7 Support,34234.09920465658,12,3.131159585437124,10,1,0.1944444444444444,0,1.0
CL0038,Infrastructure,10425.509859977548,19,2.320291144002701,10,1,0.0833333333333333,2,1.0
CL0125,24/7 Support,44993.66359410397,50,1.2651896659442554,10,1,0.0555555555555555,0,0.99
CL0005,Security,13330.981797737884,40,1.0,4,1,0.1388888888888889,3,0.99
CL0078,Cloud Migration,5804.327063003621,20,1.0,9,1,0.0555555555555555,1,0.99
CL0068,Infrastructure,23799.50519753002,49,1.79502830262493,13,1,0.1111111111111111,2,0.99
CL0165,Cloud Migration,42161.75377541432,43,2.9338782168041764,7,1,0.1388888888888889,1,0.98
CL0118,Infrastructure,29163.84903020361,23,2.1436688800219006,7,1,0.1666666666666666,2,0.98
CL0156,Cloud Migration,42665.59977636524,18,2.890679355363166,10,1,0.1666666666666666,1,0.98
CL0116,Infrastructure,15099.82573264973,23,3.1301712246560616,9,1,0.1388888888888889,2,0.98
CL0003,24/7 Support,47760.68092193611,17,2.173927450621117,4,1,0.0555555555555555,0,0.97
CL0130,Infrastructure,29788.581677411268,13,1.9425006140527992,1,1,0.1388888888888889,2,0.97
CL0197,Security,20564.73756288305,21,2.9763600684050617,6,1,0.0833333333333333,3,0.97
CL0189,Infrastructure,9612.937759580567,13,1.0,7,1,0.1666666666666666,2,0.97
CL0049,Cloud Migration,44868.99867062842,52,2.444306433977752,1,1,0.0277777777777777,1,0.97
CL0173,Infrastructure,5287.364227257511,49,1.809283536505915,9,1,0.0555555555555555,2,0.97
CL0055,24/7 Support,44361.57527078897,10,1.2031127048366774,12,1,0.0833333333333333,0,0.97
CL0115,Infrastructure,41712.4906245778,26,2.489535825883401,7,1,0.1111111111111111,2,0.96
CL0140,24/7 Support,8425.888677063507,20,2.297707290588723,1,1,0.1666666666666666,0,0.96
CL0119,24/7 Support,31682.297067876643,51,2.0687704247193763,9,1,0.0833333333333333,0,0.95
CL0102,Security,13389.721796491453,43,3.322495938425892,12,1,0.1388888888888889,3,0.95
CL0060,Infrastructure,20782.03169532696,39,2.0783779980544974,6,1,0.1388888888888889,2,0.95
CL0011,Security,36152.44540330336,38,3.432422716293568,6,1,0.1388888888888889,3,0.95
CL0114,Cloud Migration,11925.315785293478,13,3.3650729991850694,6,1,0.1111111111111111,1,0.95
CL0190,24/7 Support,47175.2819256403,55,1.6554939173532377,6,1,0.1666666666666666,0,0.94
CL0178,Infrastructure,16691.161147887193,11,1.7451050165621522,6,1,0.0555555555555555,2,0.94
CL0007,Security,44282.56261443837,17,1.39188905522841,7,1,0.0833333333333333,3,0.92
CL0158,Security,35606.334729213515,38,2.767657785903714,9,1,0.0833333333333333,3,0.76
CL0044,Cloud Migration,19188.065202377467,22,2.6868837074938217,6,0,0.0833333333333333,1,0.74
CL0122,Cloud Migration,44485.73881836712,43,1.0,10,1,0.1666666666666666,1,0.65
CL0170,Infrastructure,41808.5160853578,20,1.0230346419924865,10,0,0.1111111111111111,2,0.55
CL0141,Infrastructure,43304.31113219459,21,1.1215482387873474,7,0,0.1111111111111111,2,0.55
CL0092,Infrastructure,12516.527574143383,20,2.8985235029992555,7,0,0.1388888888888889,2,0.54
CL0175,Infrastructure,32761.7113269084,45,1.787962683556968,6,1,0.0833333333333333,2,0.54
