client_id,service_type,contract_value,tenure_months,satisfaction_score,avg_monthly_tickets,churn,late_payment_rate
CL0001,Security,46279.11089580093,52,2.809273138073201,1,0,0.16666666666666666
CL0002,Security,11156.838391353263,34,3.5743107807861,6,0,0.1111111111111111
CL0003,24/7 Support,47760.68092193611,17,2.173927450621117,4,1,0.05555555555555555
CL0004,Cloud Migration,25070.25978310801,41,3.926358087021328,6,0,0.16666666666666666
CL0005,Security,13330.981797737884,40,1.0,4,1,0.1388888888888889
CL0006,Cloud Migration,29385.54263202612,57,1.2414083359622552,4,0,0.1111111111111111
CL0007,Security,44282.56261443837,17,1.39188905522841,7,1,0.08333333333333333
CL0008,Infrastructure,37950.11988843025,12,1.6381787204527534,8,0,0.08333333333333333
CL0009,Security,41295.25165376524,34,4.487134266368807,7,0,0.1111111111111111
CL0010,Infrastructure,34645.25150198228,16,1.8768559494321773,5,0,0.19444444444444445
CL0011,Security,36152.44540330336,38,3.432422716293568,6,1,0.1388888888888889
CL0012,24/7 Support,43213.80432043937,11,2.3475831670844274,6,0,0.1388888888888889
CL0013,Infrastructure,16235.060398663369,52,1.7284716627547971,8,0,0.16666666666666666
CL0014,Security,27024.12336394132,20,4.1587940285699165,4,0,0.05555555555555555
CL0015,24/7 Support,14954.4248818821,37,3.634831102003505,3,0,0.16666666666666666
CL0016,Infrastructure,49445.06035984912,56,2.992782865812556,2,0,0.1388888888888889
CL0017,24/7 Support,47482.6702858976,16,3.221454203750525,3,0,0.19444444444444445
CL0018,Cloud Migration,6774.206511582765,28,3.8768071130890553,9,0,0.027777777777777776
CL0019,Cloud Migration,36750.882763205984,31,1.913818965325195,5,0,0.1388888888888889
CL0020,Infrastructure,46636.17428370496,39,4.985335664226968,4,0,0.16666666666666666
CL0021,Security,13125.890530730008,51,4.8991726485871325,7,0,0.027777777777777776
CL0022,Infrastructure,30557.535374868326,39,3.6013027453877475,8,0,0.1111111111111111
CL0023,24/7 Support,46196.973391461885,34,1.7981698037165803,4,0,0.16666666666666666
CL0024,Security,6527.569036360948,9,3.720912969725165,4,0,0.1111111111111111
CL0025,Cloud Migration,36383.91202610779,22,1.2887936359167034,8,0,0.0
CL0026,Security,18380.705331764784,40,1.1226100088232245,5,0,0.1111111111111111
CL0027,Cloud Migration,46597.828791943866,18,2.0307315540448547,5,0,0.16666666666666666
CL0028,Security,48697.62103244155,46,2.850491826957265,6,0,0.1111111111111111
CL0029,Security,47491.99201010453,44,4.4730900216335225,7,0,0.1388888888888889
