Month,Baseline,Risk_Adjusted,Optimized
1,5876136.928010162,5347838.870341645,5374253.773225071
2,5876136.928010162,4819540.812673127,4872370.61843998
3,5876136.928010162,4291242.75500461,4370487.463654889
4,5876136.928010162,3762944.6973360926,3868604.3088697973
5,5876136.928010162,3234646.6396675752,3366721.1540847057
6,5876136.928010162,2706348.581999058,2864837.999299614
7,5876136.928010162,2178050.5243305406,2362954.8445145227
8,5876136.928010162,1649752.4666620232,1861071.6897294312
9,5876136.928010162,1121454.4089935059,1359188.5349443397
10,5876136.928010162,593156.3513249884,857305.3801592481
11,5876136.928010162,64858.29365647095,355422.2253741566
12,5876136.928010162,0.0,0.0
